home_team,home_team_state,away_team,away_team_state,home_goal,away_goal,season,round,data,hora
Palmeiras,SP,Portuguesa,SP,1,1,2012,1,2012-05-19,18:30:00
Sport,PE,Flamengo,RJ,1,1,2012,1,2012-05-19,18:30:00
Figueirense,SC,Nautico,PE,2,1,2012,1,2012-05-19,21:00:00
Ponte Preta,SP,Atletico-MG,MG,0,1,2012,1,2012-05-20,16:00:00
Corinthians,SP,Fluminense,RJ,0,1,2012,1,2012-05-20,16:00:00
Botafogo,RJ,Sao Paulo,SP,4,2,2012,1,2012-05-20,16:00:00
Internacional,RS,Coritiba,PR,2,0,2012,1,2012-05-20,16:00:00
Vasco,RJ,Gremio,RS,2,1,2012,1,2012-05-20,18:30:00
Bahia,BA,Santos,SP,0,0,2012,1,2012-05-20,18:30:00
Cruzeiro,MG,Atletico-GO,GO,0,0,2012,1,2012-05-20,18:30:00
Atletico-GO,GO,Ponte Preta,SP,1,1,2012,2,2012-05-26,18:30:00
Flamengo,RJ,Internacional,RS,3,3,2012,2,2012-05-26,18:30:00
Portuguesa,SP,Vasco,RJ,0,1,2012,2,2012-05-26,18:30:00
Nautico,PE,Cruzeiro,MG,0,0,2012,2,2012-05-26,21:00:00
Santos,SP,Sport,PE,0,0,2012,2,2012-05-27,16:00:00
Atletico-MG,MG,Corinthians,SP,1,0,2012,2,2012-05-27,16:00:00
Coritiba,PR,Botafogo,RJ,2,3,2012,2,2012-05-27,16:00:00
Sao Paulo,SP,Bahia,BA,1,0,2012,2,2012-05-27,16:00:00
Gremio,RS,Palmeiras,SP,1,0,2012,2,2012-05-27,18:30:00
Fluminense,RJ,Figueirense,SC,2,2,2012,2,2012-05-27,18:30:00
Atletico-GO,GO,Gremio,RS,0,1,2012,3,2012-06-06,19:30:00
Sport,PE,Palmeiras,SP,2,1,2012,3,2012-06-06,19:30:00
Vasco,RJ,Nautico,PE,4,2,2012,3,2012-06-06,20:30:00
Atletico-MG,MG,Bahia,BA,1,1,2012,3,2012-06-06,20:30:00
Coritiba,PR,Portuguesa,SP,2,0,2012,3,2012-06-06,20:30:00
Ponte Preta,SP,Flamengo,RJ,2,2,2012,3,2012-06-06,21:50:00
Internacional,RS,Sao Paulo,SP,1,0,2012,3,2012-06-06,21:50:00
Santos,SP,Fluminense,RJ,1,1,2012,3,2012-06-06,21:50:00
Corinthians,SP,Figueirense,SC,1,1,2012,3,2012-06-07,21:00:00
Botafogo,RJ,Cruzeiro,MG,2,3,2012,3,2012-06-07,21:00:00
Flamengo,RJ,Coritiba,PR,3,1,2012,4,2012-06-09,18:30:00
Palmeiras,SP,Atletico-MG,MG,0,1,2012,4,2012-06-09,21:00:00
Portuguesa,SP,Atletico-GO,GO,2,0,2012,4,2012-06-10,16:00:00
Gremio,RS,Corinthians,SP,2,0,2012,4,2012-06-10,17:00:00
Fluminense,RJ,Internacional,RS,0,0,2012,4,2012-06-10,17:00:00
Bahia,BA,Vasco,RJ,1,2,2012,4,2012-06-10,17:00:00
Nautico,PE,Botafogo,RJ,3,2,2012,4,2012-06-10,18:30:00
Figueirense,SC,Ponte Preta,SP,0,0,2012,4,2012-06-10,18:30:00
Cruzeiro,MG,Sport,PE,1,0,2012,4,2012-06-10,18:30:00
Sao Paulo,SP,Santos,SP,1,0,2012,4,2012-06-10,18:30:00
Internacional,RS,Botafogo,RJ,1,2,2012,5,2012-06-16,18:30:00
Cruzeiro,MG,Figueirense,SC,1,0,2012,5,2012-06-16,18:30:00
Fluminense,RJ,Portuguesa,SP,4,1,2012,5,2012-06-16,21:00:00
Sao Paulo,SP,Atletico-MG,MG,1,0,2012,5,2012-06-17,16:00:00
Palmeiras,SP,Vasco,RJ,1,1,2012,5,2012-06-17,16:00:00
Bahia,BA,Sport,PE,2,1,2012,5,2012-06-17,16:00:00
Flamengo,RJ,Santos,SP,1,0,2012,5,2012-06-17,16:00:00
Nautico,PE,Gremio,RS,1,0,2012,5,2012-06-17,18:30:00
Coritiba,PR,Atletico-GO,GO,3,0,2012,5,2012-06-17,18:30:00
Ponte Preta,SP,Corinthians,SP,1,0,2012,5,2012-06-17,18:30:00
Vasco,RJ,Cruzeiro,MG,1,3,2012,6,2012-06-23,18:30:00
Portuguesa,SP,Sao Paulo,SP,1,0,2012,6,2012-06-23,18:30:00
Atletico-MG,MG,Nautico,PE,5,1,2012,6,2012-06-23,21:00:00
Corinthians,SP,Palmeiras,SP,2,1,2012,6,2012-06-24,16:00:00
Gremio,RS,Flamengo,RJ,2,0,2012,6,2012-06-24,16:00:00
Figueirense,SC,Bahia,BA,1,1,2012,6,2012-06-24,16:00:00
Sport,PE,Internacional,RS,0,2,2012,6,2012-06-24,18:30:00
Botafogo,RJ,Ponte Preta,SP,1,2,2012,6,2012-06-24,18:30:00
Santos,SP,Coritiba,PR,2,2,2012,6,2012-06-24,18:30:00
Atletico-GO,GO,Fluminense,RJ,1,4,2012,6,2012-06-24,18:30:00
Nautico,PE,Fluminense,RJ,0,2,2012,7,2012-06-30,16:20:00
Cruzeiro,MG,Sao Paulo,SP,2,3,2012,7,2012-06-30,16:20:00
Vasco,RJ,Ponte Preta,SP,3,2,2012,7,2012-06-30,18:30:00
Coritiba,PR,Sport,PE,2,3,2012,7,2012-07-01,16:00:00
Portuguesa,SP,Santos,SP,0,0,2012,7,2012-07-01,16:00:00
Bahia,BA,Internacional,RS,1,1,2012,7,2012-07-01,16:00:00
Gremio,RS,Atletico-MG,MG,0,1,2012,7,2012-07-01,18:30:00
Palmeiras,SP,Figueirense,SC,3,1,2012,7,2012-07-01,18:30:00
Flamengo,RJ,Atletico-GO,GO,3,2,2012,7,2012-07-01,18:30:00
Corinthians,SP,Botafogo,RJ,1,3,2012,7,2012-07-11,19:30:00
Botafogo,RJ,Bahia,BA,3,0,2012,8,2012-07-07,18:30:00
Internacional,RS,Cruzeiro,MG,2,1,2012,8,2012-07-07,18:30:00
Atletico-GO,GO,Nautico,PE,0,1,2012,8,2012-07-07,21:00:00
Figueirense,SC,Vasco,RJ,1,1,2012,8,2012-07-08,16:00:00
Fluminense,RJ,Flamengo,RJ,1,0,2012,8,2012-07-08,16:00:00
Santos,SP,Gremio,RS,4,2,2012,8,2012-07-08,16:00:00
Sao Paulo,SP,Coritiba,PR,3,1,2012,8,2012-07-08,16:00:00
Ponte Preta,SP,Palmeiras,SP,1,0,2012,8,2012-07-08,18:30:00
Sport,PE,Corinthians,SP,1,1,2012,8,2012-07-08,18:30:00
Atletico-MG,MG,Portuguesa,SP,2,0,2012,8,2012-07-08,18:30:00
Figueirense,SC,Atletico-MG,MG,3,4,2012,9,2012-07-14,18:30:00
Corinthians,SP,Nautico,PE,2,1,2012,9,2012-07-14,18:30:00
Ponte Preta,SP,Coritiba,PR,4,1,2012,9,2012-07-14,21:00:00
Bahia,BA,Flamengo,RJ,1,2,2012,9,2012-07-15,16:00:00
Internacional,RS,Santos,SP,0,0,2012,9,2012-07-15,16:00:00
Cruzeiro,MG,Gremio,RS,1,3,2012,9,2012-07-15,16:00:00
Botafogo,RJ,Fluminense,RJ,1,1,2012,9,2012-07-15,16:00:00
Palmeiras,SP,Sao Paulo,SP,1,1,2012,9,2012-07-15,18:30:00
Vasco,RJ,Atletico-GO,GO,1,0,2012,9,2012-07-15,18:30:00
Sport,PE,Portuguesa,SP,2,1,2012,9,2012-07-15,18:30:00
Santos,SP,Botafogo,RJ,0,0,2012,10,2012-07-18,19:30:00
Gremio,RS,Sport,PE,3,1,2012,10,2012-07-18,19:30:00
Portuguesa,SP,Cruzeiro,MG,0,2,2012,10,2012-07-18,20:30:00
Nautico,PE,Ponte Preta,SP,3,0,2012,10,2012-07-18,20:30:00
Sao Paulo,SP,Vasco,RJ,0,1,2012,10,2012-07-18,21:50:00
Atletico-MG,MG,Internacional,RS,3,1,2012,10,2012-07-18,21:50:00
Flamengo,RJ,Corinthians,SP,0,3,2012,10,2012-07-18,21:50:00
Fluminense,RJ,Bahia,BA,4,0,2012,10,2012-07-19,21:00:00
Coritiba,PR,Palmeiras,SP,1,1,2012,10,2012-07-19,21:00:00
Atletico-GO,GO,Figueirense,SC,3,2,2012,10,2012-07-19,21:00:00
Sport,PE,Atletico-MG,MG,1,4,2012,11,2012-07-21,18:30:00
Vasco,RJ,Santos,SP,2,0,2012,11,2012-07-21,18:30:00
Corinthians,SP,Portuguesa,SP,1,1,2012,11,2012-07-21,21:00:00
Internacional,RS,Atletico-GO,GO,4,1,2012,11,2012-07-22,16:00:00
Cruzeiro,MG,Flamengo,RJ,1,0,2012,11,2012-07-22,16:00:00
Figueirense,SC,Sao Paulo,SP,0,2,2012,11,2012-07-22,16:00:00
Palmeiras,SP,Nautico,PE,3,0,2012,11,2012-07-22,16:00:00
Bahia,BA,Coritiba,PR,2,2,2012,11,2012-07-22,18:30:00
Botafogo,RJ,Gremio,RS,0,1,2012,11,2012-07-22,18:30:00
Ponte Preta,SP,Fluminense,RJ,1,2,2012,11,2012-07-22,18:30:00
Figueirense,SC,Internacional,RS,0,1,2012,12,2012-07-25,19:30:00
Ponte Preta,SP,Sport,PE,1,1,2012,12,2012-07-25,19:30:00
Vasco,RJ,Botafogo,RJ,1,0,2012,12,2012-07-25,20:30:00
Nautico,PE,Coritiba,PR,3,4,2012,12,2012-07-25,20:30:00
Corinthians,SP,Cruzeiro,MG,2,0,2012,12,2012-07-25,21:50:00
Gremio,RS,Fluminense,RJ,1,0,2012,12,2012-07-25,21:50:00
Atletico-GO,GO,Sao Paulo,SP,4,3,2012,12,2012-07-25,21:50:00
Atletico-MG,MG,Santos,SP,2,0,2012,12,2012-07-26,21:00:00
Flamengo,RJ,Portuguesa,SP,0,0,2012,12,2012-07-26,21:00:00
Palmeiras,SP,Bahia,BA,0,2,2012,12,2012-07-26,21:00:00
Coritiba,PR,Gremio,RS,2,1,2012,13,2012-07-28,18:30:00
Internacional,RS,Vasco,RJ,0,0,2012,13,2012-07-28,18:30:00
Botafogo,RJ,Figueirense,SC,1,0,2012,13,2012-07-28,21:00:00
Sport,PE,Atletico-GO,GO,0,0,2012,13,2012-07-29,16:00:00
Sao Paulo,SP,Flamengo,RJ,4,1,2012,13,2012-07-29,16:00:00
Fluminense,RJ,Atletico-MG,MG,0,0,2012,13,2012-07-29,16:00:00
Bahia,BA,Corinthians,SP,0,0,2012,13,2012-07-29,16:00:00
Cruzeiro,MG,Palmeiras,SP,2,1,2012,13,2012-07-29,18:30:00
Portuguesa,SP,Nautico,PE,3,1,2012,13,2012-07-29,18:30:00
Santos,SP,Ponte Preta,SP,2,1,2012,13,2012-07-29,18:30:00
Palmeiras,SP,Internacional,RS,0,1,2012,14,2012-08-04,18:30:00
Atletico-GO,GO,Botafogo,RJ,1,2,2012,14,2012-08-04,18:30:00
Portuguesa,SP,Figueirense,SC,2,0,2012,14,2012-08-04,21:00:00
Vasco,RJ,Corinthians,SP,0,0,2012,14,2012-08-05,16:00:00
Gremio,RS,Bahia,BA,3,1,2012,14,2012-08-05,16:00:00
Coritiba,PR,Fluminense,RJ,0,2,2012,14,2012-08-05,16:00:00
Sao Paulo,SP,Sport,PE,1,0,2012,14,2012-08-05,16:00:00
Cruzeiro,MG,Ponte Preta,SP,1,2,2012,14,2012-08-05,18:30:00
Nautico,PE,Santos,SP,3,0,2012,14,2012-08-05,18:30:00
Flamengo,RJ,Atletico-MG,MG,2,1,2012,14,2012-09-26,22:00:00
Sport,PE,Vasco,RJ,0,2,2012,15,2012-08-08,19:30:00
Internacional,RS,Nautico,PE,0,0,2012,15,2012-08-08,19:30:00
Bahia,BA,Portuguesa,SP,0,0,2012,15,2012-08-08,20:30:00
Corinthians,SP,Atletico-GO,GO,1,1,2012,15,2012-08-08,20:30:00
Santos,SP,Cruzeiro,MG,4,2,2012,15,2012-08-08,21:50:00
Figueirense,SC,Flamengo,RJ,0,2,2012,15,2012-08-08,21:50:00
Botafogo,RJ,Palmeiras,SP,1,2,2012,15,2012-08-08,21:50:00
Fluminense,RJ,Sao Paulo,SP,2,1,2012,15,2012-08-09,21:00:00
Atletico-MG,MG,Coritiba,PR,1,0,2012,15,2012-08-09,21:00:00
Ponte Preta,SP,Gremio,RS,0,0,2012,15,2012-08-09,21:00:00
Sport,PE,Figueirense,SC,0,1,2012,16,2012-08-11,18:30:00
Bahia,BA,Cruzeiro,MG,0,1,2012,16,2012-08-11,18:30:00
Santos,SP,Atletico-GO,GO,2,2,2012,16,2012-08-11,18:30:00
Flamengo,RJ,Nautico,PE,2,0,2012,16,2012-08-11,21:00:00
Internacional,RS,Ponte Preta,SP,2,1,2012,16,2012-08-12,16:00:00
Sao Paulo,SP,Gremio,RS,1,2,2012,16,2012-08-12,16:00:00
Atletico-MG,MG,Vasco,RJ,1,0,2012,16,2012-08-12,16:00:00
Coritiba,PR,Corinthians,SP,1,2,2012,16,2012-08-12,16:00:00
Fluminense,RJ,Palmeiras,SP,1,0,2012,16,2012-08-12,18:30:00
Portuguesa,SP,Botafogo,RJ,1,1,2012,16,2012-08-12,18:30:00
Gremio,RS,Portuguesa,SP,1,2,2012,17,2012-08-15,19:30:00
Cruzeiro,MG,Fluminense,RJ,1,1,2012,17,2012-08-15,19:30:00
Atletico-GO,GO,Atletico-MG,MG,1,1,2012,17,2012-08-15,20:30:00
Ponte Preta,SP,Bahia,BA,0,2,2012,17,2012-08-15,20:30:00
Nautico,PE,Sao Paulo,SP,3,0,2012,17,2012-08-15,21:50:00
Botafogo,RJ,Sport,PE,2,0,2012,17,2012-08-15,21:50:00
Palmeiras,SP,Flamengo,RJ,1,0,2012,17,2012-08-15,21:50:00
Vasco,RJ,Coritiba,PR,2,2,2012,17,2012-08-16,21:00:00
Corinthians,SP,Internacional,RS,1,0,2012,17,2012-08-16,21:00:00
Figueirense,SC,Santos,SP,1,3,2012,17,2012-08-16,21:00:00
Nautico,PE,Bahia,BA,1,0,2012,18,2012-08-18,18:30:00
Fluminense,RJ,Sport,PE,1,0,2012,18,2012-08-18,18:30:00
Sao Paulo,SP,Ponte Preta,SP,3,0,2012,18,2012-08-18,21:00:00
Santos,SP,Corinthians,SP,3,2,2012,18,2012-08-19,16:00:00
Atletico-MG,MG,Botafogo,RJ,3,2,2012,18,2012-08-19,16:00:00
Coritiba,PR,Cruzeiro,MG,4,0,2012,18,2012-08-19,16:00:00
Gremio,RS,Figueirense,SC,4,0,2012,18,2012-08-19,16:00:00
Atletico-GO,GO,Palmeiras,SP,2,1,2012,18,2012-08-19,18:30:00
Portuguesa,SP,Internacional,RS,1,1,2012,18,2012-08-19,18:30:00
Flamengo,RJ,Vasco,RJ,1,0,2012,18,2012-08-19,18:30:00
Vasco,RJ,Fluminense,RJ,1,2,2012,19,2012-08-25,18:30:00
Palmeiras,SP,Santos,SP,1,2,2012,19,2012-08-25,18:30:00
Ponte Preta,SP,Portuguesa,SP,2,1,2012,19,2012-08-25,21:00:00
Internacional,RS,Gremio,RS,0,1,2012,19,2012-08-26,16:00:00
Botafogo,RJ,Flamengo,RJ,0,0,2012,19,2012-08-26,16:00:00
Corinthians,SP,Sao Paulo,SP,1,2,2012,19,2012-08-26,16:00:00
Figueirense,SC,Coritiba,PR,3,1,2012,19,2012-08-26,16:00:00
Cruzeiro,MG,Atletico-MG,MG,2,2,2012,19,2012-08-26,18:30:00
Sport,PE,Nautico,PE,0,0,2012,19,2012-08-26,18:30:00
Bahia,BA,Atletico-GO,GO,1,1,2012,19,2012-08-26,18:30:00
Coritiba,PR,Internacional,RS,1,0,2012,20,2012-08-29,19:30:00
Santos,SP,Bahia,BA,1,3,2012,20,2012-08-29,19:30:00
Nautico,PE,Figueirense,SC,3,2,2012,20,2012-08-29,20:30:00
Atletico-MG,MG,Ponte Preta,SP,2,2,2012,20,2012-08-29,20:30:00
Portuguesa,SP,Palmeiras,SP,3,0,2012,20,2012-08-29,20:30:00
Fluminense,RJ,Corinthians,SP,1,1,2012,20,2012-08-29,22:00:00
Gremio,RS,Vasco,RJ,2,0,2012,20,2012-08-29,22:00:00
Atletico-GO,GO,Cruzeiro,MG,0,2,2012,20,2012-08-29,22:00:00
Flamengo,RJ,Sport,PE,1,1,2012,20,2012-08-30,21:00:00
Sao Paulo,SP,Botafogo,RJ,4,0,2012,20,2012-08-30,21:00:00
Palmeiras,SP,Gremio,RS,0,0,2012,21,2012-09-01,18:30:00
Figueirense,SC,Fluminense,RJ,2,2,2012,21,2012-09-01,18:30:00
Vasco,RJ,Portuguesa,SP,2,0,2012,21,2012-09-01,21:00:00
Bahia,BA,Sao Paulo,SP,1,0,2012,21,2012-09-02,16:00:00
Sport,PE,Santos,SP,2,1,2012,21,2012-09-02,16:00:00
Internacional,RS,Flamengo,RJ,4,1,2012,21,2012-09-02,16:00:00
Corinthians,SP,Atletico-MG,MG,1,0,2012,21,2012-09-02,16:00:00
Botafogo,RJ,Coritiba,PR,2,0,2012,21,2012-09-02,18:30:00
Cruzeiro,MG,Nautico,PE,3,0,2012,21,2012-09-02,18:30:00
Ponte Preta,SP,Atletico-GO,GO,3,1,2012,21,2012-09-02,18:30:00
Flamengo,RJ,Ponte Preta,SP,0,1,2012,22,2012-09-05,19:30:00
Portuguesa,SP,Coritiba,PR,3,0,2012,22,2012-09-05,19:30:00
Nautico,PE,Vasco,RJ,1,1,2012,22,2012-09-05,19:30:00
Bahia,BA,Atletico-MG,MG,0,0,2012,22,2012-09-05,19:30:00
Gremio,RS,Atletico-GO,GO,2,1,2012,22,2012-09-05,20:30:00
Figueirense,SC,Corinthians,SP,1,0,2012,22,2012-09-05,22:00:00
Cruzeiro,MG,Botafogo,RJ,1,3,2012,22,2012-09-05,22:00:00
Sao Paulo,SP,Internacional,RS,1,1,2012,22,2012-09-05,22:00:00
Fluminense,RJ,Santos,SP,3,1,2012,22,2012-09-06,21:00:00
Palmeiras,SP,Sport,PE,3,1,2012,22,2012-09-06,21:00:00
Ponte Preta,SP,Figueirense,SC,2,2,2012,23,2012-09-08,18:30:00
Coritiba,PR,Flamengo,RJ,3,0,2012,23,2012-09-08,18:30:00
Corinthians,SP,Gremio,RS,3,1,2012,23,2012-09-08,21:00:00
Botafogo,RJ,Nautico,PE,3,1,2012,23,2012-09-09,16:00:00
Santos,SP,Sao Paulo,SP,0,0,2012,23,2012-09-09,16:00:00
Internacional,RS,Fluminense,RJ,0,1,2012,23,2012-09-09,16:00:00
Atletico-GO,GO,Portuguesa,SP,1,1,2012,23,2012-09-09,18:30:00
Atletico-MG,MG,Palmeiras,SP,3,0,2012,23,2012-09-09,18:30:00
Sport,PE,Cruzeiro,MG,2,1,2012,23,2012-09-09,18:30:00
Vasco,RJ,Bahia,BA,0,4,2012,23,2012-09-09,18:30:00
Corinthians,SP,Ponte Preta,SP,1,1,2012,24,2012-09-12,19:30:00
Portuguesa,SP,Fluminense,RJ,0,2,2012,24,2012-09-12,19:30:00
Figueirense,SC,Cruzeiro,MG,2,0,2012,24,2012-09-12,19:30:00
Sport,PE,Bahia,BA,1,1,2012,24,2012-09-12,20:30:00
Atletico-GO,GO,Coritiba,PR,1,2,2012,24,2012-09-12,20:30:00
Vasco,RJ,Palmeiras,SP,3,1,2012,24,2012-09-12,22:00:00
Santos,SP,Flamengo,RJ,2,0,2012,24,2012-09-12,22:00:00
Atletico-MG,MG,Sao Paulo,SP,1,0,2012,24,2012-09-12,22:00:00
Gremio,RS,Nautico,PE,2,0,2012,24,2012-09-13,21:00:00
Botafogo,RJ,Internacional,RS,1,1,2012,24,2012-09-13,21:00:00
Fluminense,RJ,Atletico-GO,GO,1,2,2012,25,2012-09-15,18:30:00
Sao Paulo,SP,Portuguesa,SP,3,1,2012,25,2012-09-15,18:30:00
Palmeiras,SP,Corinthians,SP,0,2,2012,25,2012-09-16,16:00:00
Cruzeiro,MG,Vasco,RJ,1,1,2012,25,2012-09-16,16:00:00
Coritiba,PR,Santos,SP,1,2,2012,25,2012-09-16,16:00:00
Nautico,PE,Atletico-MG,MG,1,0,2012,25,2012-09-16,16:00:00
Bahia,BA,Figueirense,SC,2,1,2012,25,2012-09-16,16:00:00
Flamengo,RJ,Gremio,RS,1,1,2012,25,2012-09-16,18:30:00
Internacional,RS,Sport,PE,2,2,2012,25,2012-09-16,18:30:00
Ponte Preta,SP,Botafogo,RJ,0,0,2012,25,2012-09-16,18:30:00
Fluminense,RJ,Nautico,PE,2,1,2012,26,2012-09-22,18:30:00
Figueirense,SC,Palmeiras,SP,1,3,2012,26,2012-09-22,18:30:00
Santos,SP,Portuguesa,SP,1,3,2012,26,2012-09-22,21:00:00
Botafogo,RJ,Corinthians,SP,2,2,2012,26,2012-09-23,16:00:00
Sao Paulo,SP,Cruzeiro,MG,1,0,2012,26,2012-09-23,16:00:00
Ponte Preta,SP,Vasco,RJ,0,0,2012,26,2012-09-23,16:00:00
Atletico-GO,GO,Flamengo,RJ,1,2,2012,26,2012-09-23,16:00:00
Internacional,RS,Bahia,BA,3,1,2012,26,2012-09-23,18:30:00
Atletico-MG,MG,Gremio,RS,0,0,2012,26,2012-09-23,18:30:00
Sport,PE,Coritiba,PR,1,0,2012,26,2012-09-23,18:30:00
Nautico,PE,Atletico-GO,GO,2,0,2012,27,2012-09-29,18:30:00
Portuguesa,SP,Atletico-MG,MG,1,1,2012,27,2012-09-29,18:30:00
Vasco,RJ,Figueirense,SC,3,1,2012,27,2012-09-29,18:30:00
Cruzeiro,MG,Internacional,RS,0,0,2012,27,2012-09-29,18:30:00
Palmeiras,SP,Ponte Preta,SP,3,0,2012,27,2012-09-29,21:00:00
Flamengo,RJ,Fluminense,RJ,0,1,2012,27,2012-09-30,16:00:00
Corinthians,SP,Sport,PE,3,0,2012,27,2012-09-30,16:00:00
Coritiba,PR,Sao Paulo,SP,1,1,2012,27,2012-09-30,16:00:00
Bahia,BA,Botafogo,RJ,2,0,2012,27,2012-09-30,16:00:00
Gremio,RS,Santos,SP,1,1,2012,27,2012-09-30,18:30:00
Flamengo,RJ,Bahia,BA,0,0,2012,28,2012-10-04,21:00:00
Portuguesa,SP,Sport,PE,5,1,2012,28,2012-10-04,21:00:00
Coritiba,PR,Ponte Preta,SP,1,0,2012,28,2012-10-04,21:00:00
Sao Paulo,SP,Palmeiras,SP,3,0,2012,28,2012-10-06,16:00:00
Atletico-GO,GO,Vasco,RJ,0,1,2012,28,2012-10-06,16:20:00
Santos,SP,Internacional,RS,1,1,2012,28,2012-10-06,16:20:00
Nautico,PE,Corinthians,SP,2,1,2012,28,2012-10-06,16:20:00
Fluminense,RJ,Botafogo,RJ,1,0,2012,28,2012-10-06,18:30:00
Gremio,RS,Cruzeiro,MG,2,1,2012,28,2012-10-06,18:30:00
Atletico-MG,MG,Figueirense,SC,6,0,2012,28,2012-10-06,18:30:00
Botafogo,RJ,Santos,SP,0,2,2012,29,2012-10-10,19:30:00
Cruzeiro,MG,Portuguesa,SP,2,0,2012,29,2012-10-10,19:30:00
Ponte Preta,SP,Nautico,PE,2,1,2012,29,2012-10-10,19:30:00
Figueirense,SC,Atletico-GO,GO,3,1,2012,29,2012-10-10,19:30:00
Bahia,BA,Fluminense,RJ,0,2,2012,29,2012-10-10,19:30:00
Internacional,RS,Atletico-MG,MG,3,0,2012,29,2012-10-10,22:00:00
Vasco,RJ,Sao Paulo,SP,0,2,2012,29,2012-10-10,22:00:00
Corinthians,SP,Flamengo,RJ,3,2,2012,29,2012-10-10,22:00:00
Palmeiras,SP,Coritiba,PR,0,1,2012,29,2012-10-11,21:00:00
Sport,PE,Gremio,RS,1,3,2012,29,2012-10-11,21:00:00
Atletico-GO,GO,Internacional,RS,3,1,2012,30,2012-10-13,18:30:00
Flamengo,RJ,Cruzeiro,MG,1,1,2012,30,2012-10-13,18:30:00
Portuguesa,SP,Corinthians,SP,1,1,2012,30,2012-10-13,21:00:00
Santos,SP,Vasco,RJ,2,0,2012,30,2012-10-14,16:00:00
Sao Paulo,SP,Figueirense,SC,2,0,2012,30,2012-10-14,16:00:00
Atletico-MG,MG,Sport,PE,2,1,2012,30,2012-10-14,16:00:00
Coritiba,PR,Bahia,BA,2,1,2012,30,2012-10-14,16:00:00
Nautico,PE,Palmeiras,SP,1,0,2012,30,2012-10-14,16:00:00
Fluminense,RJ,Ponte Preta,SP,2,1,2012,30,2012-10-14,18:30:00
Gremio,RS,Botafogo,RJ,1,1,2012,30,2012-10-14,18:30:00
Bahia,BA,Palmeiras,SP,0,1,2012,31,2012-10-17,19:30:00
Fluminense,RJ,Gremio,RS,2,2,2012,31,2012-10-17,19:30:00
Coritiba,PR,Nautico,PE,2,1,2012,31,2012-10-17,19:30:00
Internacional,RS,Figueirense,SC,2,3,2012,31,2012-10-17,19:30:00
Santos,SP,Atletico-MG,MG,2,2,2012,31,2012-10-17,22:00:00
Cruzeiro,MG,Corinthians,SP,2,0,2012,31,2012-10-17,22:00:00
Portuguesa,SP,Flamengo,RJ,0,0,2012,31,2012-10-17,22:00:00
Botafogo,RJ,Vasco,RJ,3,2,2012,31,2012-10-18,21:00:00
Sao Paulo,SP,Atletico-GO,GO,2,0,2012,31,2012-10-18,21:00:00
Sport,PE,Ponte Preta,SP,3,1,2012,31,2012-10-18,21:00:00
Gremio,RS,Coritiba,PR,0,0,2012,32,2012-10-20,18:30:00
Corinthians,SP,Bahia,BA,1,1,2012,32,2012-10-20,18:30:00
Palmeiras,SP,Cruzeiro,MG,2,0,2012,32,2012-10-20,18:30:00
Flamengo,RJ,Sao Paulo,SP,1,0,2012,32,2012-10-21,16:00:00
Atletico-MG,MG,Fluminense,RJ,3,2,2012,32,2012-10-21,16:00:00
Nautico,PE,Portuguesa,SP,0,0,2012,32,2012-10-21,16:00:00
Ponte Preta,SP,Santos,SP,1,0,2012,32,2012-10-21,18:30:00
Atletico-GO,GO,Sport,PE,0,1,2012,32,2012-10-21,18:30:00
Vasco,RJ,Internacional,RS,1,2,2012,32,2012-10-24,20:30:00
Figueirense,SC,Botafogo,RJ,0,2,2012,32,2012-10-24,22:00:00
Fluminense,RJ,Coritiba,PR,2,1,2012,33,2012-10-25,21:00:00
Santos,SP,Nautico,PE,0,0,2012,33,2012-10-25,21:00:00
Ponte Preta,SP,Cruzeiro,MG,1,0,2012,33,2012-10-25,21:00:00
Corinthians,SP,Vasco,RJ,1,0,2012,33,2012-10-27,16:20:00
Internacional,RS,Palmeiras,SP,2,1,2012,33,2012-10-27,16:20:00
Botafogo,RJ,Atletico-GO,GO,4,0,2012,33,2012-10-27,18:30:00
Figueirense,SC,Portuguesa,SP,0,0,2012,33,2012-10-27,18:30:00
Sport,PE,Sao Paulo,SP,2,4,2012,33,2012-10-27,18:30:00
Bahia,BA,Gremio,RS,1,1,2012,33,2012-10-27,18:30:00
Atletico-MG,MG,Flamengo,RJ,1,1,2012,33,2012-10-31,21:50:00
Gremio,RS,Ponte Preta,SP,1,0,2012,34,2012-11-03,19:30:00
Cruzeiro,MG,Santos,SP,0,4,2012,34,2012-11-03,19:30:00
Flamengo,RJ,Figueirense,SC,1,0,2012,34,2012-11-03,21:00:00
Atletico-GO,GO,Corinthians,SP,0,2,2012,34,2012-11-04,17:00:00
Vasco,RJ,Sport,PE,0,3,2012,34,2012-11-04,17:00:00
Sao Paulo,SP,Fluminense,RJ,1,1,2012,34,2012-11-04,17:00:00
Palmeiras,SP,Botafogo,RJ,2,2,2012,34,2012-11-04,17:00:00
Portuguesa,SP,Bahia,BA,0,1,2012,34,2012-11-04,19:30:00
Coritiba,PR,Atletico-MG,MG,1,0,2012,34,2012-11-04,19:30:00
Nautico,PE,Internacional,RS,3,0,2012,34,2012-11-04,19:30:00
Botafogo,RJ,Portuguesa,SP,3,0,2012,35,2012-11-10,19:30:00
Atletico-GO,GO,Santos,SP,2,1,2012,35,2012-11-10,19:30:00
Corinthians,SP,Coritiba,PR,5,1,2012,35,2012-11-10,21:00:00
