id,rodata,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_placar,visitante_placar,mandante_estado,visitante_estado
6638,14,2019-08-10,18:59,Flamengo,Gremio,4-2-2-2,4-2-3-1,J. Pinheiro de Jesus,Renato Gaúcho,Flamengo, Maracanã,3,1,RJ,RS
6639,14,2019-08-10,21:00,Atletico-MG,Fluminense,4-2-3-1,4-1-4-1,R. Marques Santana,F. Diniz Silva,Atletico-MG,Estádio Raimundo Sampaio,2,1,MG,RJ
6640,14,2019-08-11,11:00,Internacional,Corinthians,4-3-3,4-1-4-1,O. Hellmann,F. Carille,ausente,Estádio José Pinheiro Borda,0,0,RS,SP
6641,14,2019-08-11,16:00,Palmeiras,Bahia,4-2-3-1,4-3-3,L. Scolari,R. Machado Marques,ausente,Allianz Parque,2,2,SP,BA
6642,14,2019-08-11,16:01,Avai,Cruzeiro,4-3-3,4-2-3-1,A. Valentim do Carmo Neto,R. Alves Resende,ausente,  Ressacada,2,2,SC,MG
6643,14,2019-08-11,16:01,Botafogo,Athletico-PR,4-1-4-1,4-2-3-1,E. de Souza Barroca,T. Retzalff Nunes,Botafogo-RJ,Estádio Nilton Santos,2,1,RJ,PR
6644,14,2019-08-11,19:00,Goias,Vasco,4-2-3-1,4-2-3-1,N. da Silveira Júnior,V. Luxemburgo da Silva,Vasco,Estádio do Governo do Estado de Goiás (Serra Dourada),0,1,GO,RJ
6645,14,2019-08-12,20:01,CSA,Fortaleza,4-2-2-2,4-4-1-1,A. Fucks,M. Montenegro,Fortaleza,Estádio Rei Pelé,0,2,AL,CE
6649,15,2019-08-17,11:04,Athletico-PR,Atletico-MG,4-2-3-1,4-2-3-1,T. Retzalff Nunes,R. Marques Santana,Athletico-PR,Estádio Joaquim Américo Guimarães,1,0,PR,MG
6646,15,2019-08-17,17:00,Corinthians,Botafogo,4-1-4-1,4-3-3,F. Carille,E. de Souza Barroca,Corinthians,Neo Química Arena,2,0,SP,RJ
6647,15,2019-08-17,17:19,Fortaleza,Internacional,4-4-1-1,4-3-3,J. Mannarino,O. Hellmann,Internacional,Arena Castelão,0,1,CE,RS
6648,15,2019-08-17,19:00,Vasco,Flamengo,4-3-3,4-2-3-1,V. Luxemburgo da Silva,J. Pinheiro de Jesus,Flamengo,Estádio Nacional de Brasília,1,4,RJ,RJ
6650,15,2019-08-17,21:00,Gremio,Palmeiras,4-2-3-1,4-1-4-1,Renato Gaúcho,L. Scolari,ausente,Arena do Grêmio,1,1,RS,SP
6651,15,2019-08-18,16:00,Fluminense,CSA,4-1-4-1,4-2-2-2,F. Diniz Silva,A. Fucks,CSA, Maracanã,0,1,RJ,AL
6654,15,2019-08-18,16:00,Cruzeiro,Santos,4-3-3,3-4-3,R. Ceni,J. Sampaoli Moya,Cruzeiro, Mineirão,2,0,MG,SP
6653,15,2019-08-18,16:01,Bahia,Goias,4-2-3-1,4-4-2,R. Machado Marques,N. da Silveira Júnior,ausente,Itaipava Arena Fonte Nova,1,1,BA,GO
6652,15,2019-08-18,16:02,Sao Paulo,Ceara,4-1-4-1,4-2-3-1,A. Stival,E. Alves Moreira,Sao Paulo, Morumbi,1,0,SP,CE
6655,15,2019-08-18,19:00,Chapecoense,Avai,4-2-3-1,4-3-3,E. Hartkopp,A. Valentim do Carmo Neto,Chapecoense,Arena Condá,1,0,SC,SC
6635,13,2019-08-21,11:58,Athletico-PR,Sao Paulo,4-2-3-1,4-2-3-1,T. Retzalff Nunes,A. Stival,Sao Paulo,Estádio Joaquim Américo Guimarães,0,1,PR,SP
