round,season,hometeam,goalsht,goalsvt,visitingteam,data_partida
1,2007,Figueirense,3,6,Athletico-PR,2007-05-12
1,2007,Fluminense,2,2,Cruzeiro,2007-05-12
1,2007,Sao Paulo,2,0,Goias,2007-05-12
1,2007,Parana,3,0,Gremio,2007-05-13
1,2007,Flamengo,2,4,Palmeiras,2007-05-13
1,2007,Internacional,2,3,Botafogo,2007-05-13
1,2007,Atletico-MG,2,1,Nautico,2007-05-13
1,2007,America-RN,0,1,Vasco,2007-05-13
1,2007,Corinthians,1,0,Juventude,2007-05-13
1,2007,Sport,4,1,Santos,2007-05-13
2,2007,Santos,2,3,America-RN,2007-05-19
2,2007,Athletico-PR,2,1,Internacional,2007-05-19
2,2007,Juventude,1,2,Parana,2007-05-19
2,2007,Goias,1,3,Flamengo,2007-05-20
2,2007,Botafogo,2,1,Atletico-MG,2007-05-20
2,2007,Cruzeiro,0,3,Corinthians,2007-05-20
2,2007,Palmeiras,2,1,Figueirense,2007-05-20
2,2007,Gremio,2,0,Fluminense,2007-05-20
2,2007,Nautico,1,0,Sao Paulo,2007-05-20
2,2007,Vasco,3,1,Sport,2007-05-20
3,2007,America-RN,0,1,Figueirense,2007-05-26
3,2007,Corinthians,0,0,Atletico-MG,2007-05-26
3,2007,Fluminense,3,0,Internacional,2007-05-26
3,2007,Sao Paulo,0,0,Palmeiras,2007-05-27
3,2007,Gremio,1,0,Sport,2007-05-27
3,2007,Nautico,2,2,Vasco,2007-05-27
3,2007,Athletico-PR,0,1,Santos,2007-05-27
3,2007,Flamengo,2,2,Botafogo,2007-05-27
3,2007,Cruzeiro,3,4,Parana,2007-05-27
3,2007,Goias,3,1,Juventude,2007-05-27
4,2007,Atletico-MG,1,1,Athletico-PR,2007-06-02
4,2007,Botafogo,3,0,Gremio,2007-06-02
4,2007,Figueirense,2,1,Goias,2007-06-02
4,2007,Juventude,3,0,America-RN,2007-06-03
4,2007,Santos,1,1,Corinthians,2007-06-03
4,2007,Sport,2,2,Flamengo,2007-06-03
4,2007,Palmeiras,1,3,Cruzeiro,2007-06-03
4,2007,Vasco,1,1,Fluminense,2007-06-03
4,2007,Parana,0,1,Sao Paulo,2007-06-03
4,2007,Internacional,2,0,Nautico,2007-06-04
5,2007,Vasco,4,0,Gremio,2007-06-09
5,2007,Palmeiras,1,1,Botafogo,2007-06-09
5,2007,Nautico,4,4,Parana,2007-06-09
5,2007,America-RN,1,2,Corinthians,2007-06-10
5,2007,Fluminense,3,0,Sport,2007-06-10
5,2007,Figueirense,4,0,Flamengo,2007-06-10
5,2007,Athletico-PR,0,3,Goias,2007-06-10
5,2007,Internacional,1,0,Santos,2007-06-10
5,2007,Sao Paulo,0,1,Atletico-MG,2007-06-10
5,2007,Cruzeiro,2,3,Juventude,2007-06-10
6,2007,Gremio,0,2,Cruzeiro,2007-06-16
6,2007,Corinthians,0,0,Parana,2007-06-16
6,2007,Flamengo,2,2,Internacional,2007-06-16
6,2007,Goias,3,1,Palmeiras,2007-06-17
6,2007,Atletico-MG,4,1,Figueirense,2007-06-17
6,2007,Sao Paulo,2,0,Vasco,2007-06-17
6,2007,Athletico-PR,1,1,Fluminense,2007-06-17
6,2007,Juventude,0,2,Santos,2007-06-17
6,2007,Botafogo,3,1,Nautico,2007-06-17
6,2007,Sport,2,2,America-RN,2007-06-17
7,2007,Juventude,1,1,Figueirense,2007-06-23
7,2007,Parana,1,0,Sport,2007-06-23
7,2007,Palmeiras,0,2,Athletico-PR,2007-06-24
7,2007,America-RN,0,1,Fluminense,2007-06-24
7,2007,Santos,0,2,Sao Paulo,2007-06-24
7,2007,Cruzeiro,4,2,Atletico-MG,2007-06-24
7,2007,Nautico,0,2,Goias,2007-06-24
7,2007,Internacional,0,2,Gremio,2007-06-24
7,2007,Botafogo,2,3,Corinthians,2007-08-15
7,2007,Vasco,1,2,Flamengo,2007-10-18
8,2007,Sport,4,1,Nautico,2007-06-28
8,2007,Figueirense,0,0,Sao Paulo,2007-06-28
8,2007,Santos,0,0,Gremio,2007-06-30
8,2007,Cruzeiro,3,1,Vasco,2007-06-30
8,2007,America-RN,0,3,Goias,2007-06-30
8,2007,Corinthians,0,1,Palmeiras,2007-06-30
8,2007,Internacional,1,1,Atletico-MG,2007-06-30
8,2007,Parana,2,2,Athletico-PR,2007-06-30
8,2007,Fluminense,1,2,Botafogo,2007-06-30
8,2007,Flamengo,4,0,Juventude,2007-08-23
9,2007,Palmeiras,2,0,America-RN,2007-07-03
9,2007,Sao Paulo,1,0,Internacional,2007-07-03
9,2007,Fluminense,0,0,Parana,2007-07-03
9,2007,Gremio,3,1,Juventude,2007-07-03
9,2007,Athletico-PR,1,1,Nautico,2007-07-03
9,2007,Figueirense,2,1,Cruzeiro,2007-07-03
9,2007,Goias,1,1,Botafogo,2007-07-03
9,2007,Vasco,4,0,Santos,2007-07-04
9,2007,Atletico-MG,1,1,Flamengo,2007-07-04
9,2007,Sport,2,1,Corinthians,2007-07-04
10,2007,Parana,0,1,America-RN,2007-07-06
10,2007,Atletico-MG,0,1,Gremio,2007-07-07
10,2007,Santos,4,1,Cruzeiro,2007-07-07
10,2007,Corinthians,1,1,Fluminense,2007-07-07
10,2007,Nautico,0,1,Palmeiras,2007-07-07
10,2007,Juventude,2,0,Vasco,2007-07-07
10,2007,Internacional,2,1,Figueirense,2007-07-07
10,2007,Goias,3,2,Sport,2007-07-07
10,2007,Sao Paulo,0,0,Flamengo,2007-07-07
10,2007,Botafogo,2,0,Athletico-PR,2007-07-07
11,2007,Parana,1,2,Figueirense,2007-07-12
11,2007,Juventude,1,1,Nautico,2007-07-12
11,2007,Vasco,1,0,Athletico-PR,2007-07-12
11,2007,Gremio,1,1,Palmeiras,2007-07-14
11,2007,Santos,3,0,Botafogo,2007-07-14
11,2007,Sport,2,0,Atletico-MG,2007-07-14
11,2007,America-RN,1,2,Internacional,2007-07-14
11,2007,Cruzeiro,2,1,Goias,2007-07-14
11,2007,Corinthians,1,1,Sao Paulo,2007-07-14
11,2007,Fluminense,0,1,Flamengo,2007-08-16
12,2007,Botafogo,4,0,Vasco,2007-06-14
12,2007,Figueirense,0,1,Sport,2007-07-18
12,2007,Athletico-PR,4,0,Juventude,2007-07-18
12,2007,Atletico-MG,4,1,America-RN,2007-07-18
12,2007,Internacional,3,0,Corinthians,2007-07-18
12,2007,Sao Paulo,0,1,Fluminense,2007-07-18
12,2007,Nautico,1,4,Cruzeiro,2007-07-18
12,2007,Palmeiras,2,2,Santos,2007-07-19
12,2007,Goias,0,0,Gremio,2007-07-19
12,2007,Flamengo,1,2,Parana,2007-07-19
13,2007,Vasco,4,0,Atletico-MG,2007-07-21
13,2007,Juventude,2,0,Internacional,2007-07-21
13,2007,America-RN,2,1,Athletico-PR,2007-07-21
13,2007,Corinthians,0,3,Nautico,2007-07-22
13,2007,Cruzeiro,1,2,Sao Paulo,2007-07-22
13,2007,Gremio,1,0,Flamengo,2007-07-22
13,2007,Fluminense,3,0,Goias,2007-07-22
13,2007,Sport,3,3,Botafogo,2007-07-22
13,2007,Parana,1,0,Palmeiras,2007-07-22
13,2007,Santos,3,1,Figueirense,2007-07-22
14,2007,Athletico-PR,2,2,Cruzeiro,2007-07-25
14,2007,Goias,1,0,Santos,2007-07-25
14,2007,Flamengo,3,1,America-RN,2007-07-25
14,2007,Nautico,0,2,Gremio,2007-07-25
14,2007,Palmeiras,3,2,Vasco,2007-07-25
14,2007,Figueirense,2,2,Corinthians,2007-07-25
14,2007,Internacional,1,0,Parana,2007-07-25
14,2007,Botafogo,3,1,Juventude,2007-07-26
14,2007,Sao Paulo,3,1,Sport,2007-07-26
14,2007,Atletico-MG,3,0,Fluminense,2007-07-26
15,2007,Santos,1,2,Nautico,2007-07-28
15,2007,Gremio,1,1,Athletico-PR,2007-07-28
15,2007,Vasco,4,1,Goias,2007-07-28
15,2007,Parana,1,3,Atletico-MG,2007-07-29
15,2007,Juventude,1,1,Palmeiras,2007-07-29
15,2007,Sport,1,5,Internacional,2007-07-29
15,2007,Corinthians,2,2,Flamengo,2007-07-29
15,2007,Fluminense,1,1,Figueirense,2007-07-29
15,2007,America-RN,0,1,Sao Paulo,2007-07-29
15,2007,Cruzeiro,3,2,Botafogo,2007-07-29
16,2007,Nautico,0,0,Fluminense,2007-08-01
16,2007,Goias,2,0,Parana,2007-08-01
16,2007,Palmeiras,1,2,Sport,2007-08-01
16,2007,Botafogo,4,2,America-RN,2007-08-01
16,2007,Athletico-PR,2,2,Corinthians,2007-08-01
16,2007,Atletico-MG,1,2,Santos,2007-08-01
16,2007,Internacional,0,2,Vasco,2007-08-01
16,2007,Sao Paulo,3,1,Juventude,2007-08-02
16,2007,Figueirense,1,0,Gremio,2007-08-02
16,2007,Flamengo,3,1,Cruzeiro,2007-09-12
17,2007,Corinthians,1,0,Goias,2007-08-04
17,2007,America-RN,1,5,Nautico,2007-08-04
17,2007,Sport,3,2,Athletico-PR,2007-08-04
17,2007,Juventude,1,2,Atletico-MG,2007-08-05
17,2007,Santos,3,0,Flamengo,2007-08-05
17,2007,Cruzeiro,3,2,Internacional,2007-08-05
17,2007,Fluminense,0,1,Palmeiras,2007-08-05
17,2007,Vasco,2,2,Figueirense,2007-08-05
17,2007,Parana,0,0,Botafogo,2007-08-05
17,2007,Gremio,0,2,Sao Paulo,2007-08-05
18,2007,Juventude,0,0,Fluminense,2007-08-08
18,2007,Cruzeiro,2,0,Sport,2007-08-08
18,2007,Nautico,4,2,Figueirense,2007-08-08
18,2007,Botafogo,0,2,Sao Paulo,2007-08-08
18,2007,Athletico-PR,2,0,Flamengo,2007-08-08
18,2007,Goias,3,2,Atletico-MG,2007-08-08
18,2007,Santos,2,0,Parana,2007-08-09
18,2007,Palmeiras,1,1,Internacional,2007-08-09
18,2007,Gremio,3,0,America-RN,2007-08-09
18,2007,Vasco,2,0,Corinthians,2007-08-09
19,2007,Sport,3,0,Juventude,2007-08-11
19,2007,Sao Paulo,2,0,Athletico-PR,2007-08-11
19,2007,Flamengo,2,1,Nautico,2007-08-11
19,2007,Internacional,1,0,Goias,2007-08-12
19,2007,Figueirense,1,1,Botafogo,2007-08-12
19,2007,Atletico-MG,1,2,Palmeiras,2007-08-12
19,2007,Corinthians,2,1,Gremio,2007-08-12
19,2007,America-RN,1,2,Cruzeiro,2007-08-12
19,2007,Parana,0,0,Vasco,2007-08-12
19,2007,Fluminense,3,0,Santos,2007-08-12
20,2007,Gremio,2,0,Parana,2007-08-18
20,2007,Athletico-PR,1,1,Figueirense,2007-08-18
20,2007,Santos,2,0,Sport,2007-08-18
20,2007,Juventude,2,2,Corinthians,2007-08-19
20,2007,Vasco,2,0,America-RN,2007-08-19
20,2007,Nautico,0,1,Atletico-MG,2007-08-19
20,2007,Palmeiras,2,1,Flamengo,2007-08-19
20,2007,Cruzeiro,4,2,Fluminense,2007-08-19
20,2007,Botafogo,1,1,Internacional,2007-08-19
20,2007,Goias,0,0,Sao Paulo,2007-08-19
21,2007,Internacional,1,0,Athletico-PR,2007-08-25
21,2007,Fluminense,1,1,Gremio,2007-08-25
21,2007,Corinthians,0,3,Cruzeiro,2007-08-25
21,2007,Parana,3,1,Juventude,2007-08-26
21,2007,Atletico-MG,1,2,Botafogo,2007-08-26
21,2007,Sao Paulo,5,0,Nautico,2007-08-26
21,2007,Figueirense,1,2,Palmeiras,2007-08-26
21,2007,America-RN,1,4,Santos,2007-08-26
21,2007,Sport,0,0,Vasco,2007-08-26
21,2007,Flamengo,3,1,Goias,2007-08-26
22,2007,Parana,2,2,Cruzeiro,2007-08-29
22,2007,Juventude,2,0,Goias,2007-08-29
22,2007,Figueirense,3,1,America-RN,2007-08-29
22,2007,Botafogo,1,1,Flamengo,2007-08-29
22,2007,Palmeiras,0,1,Sao Paulo,2007-08-29
22,2007,Sport,2,0,Gremio,2007-08-29
22,2007,Atletico-MG,5,2,Corinthians,2007-08-29
22,2007,Internacional,1,4,Fluminense,2007-08-29
22,2007,Santos,3,1,Athletico-PR,2007-08-30
22,2007,Vasco,4,1,Nautico,2007-08-30
23,2007,Sao Paulo,6,0,Parana,2007-09-01
23,2007,Flamengo,1,1,Sport,2007-09-01
23,2007,America-RN,0,3,Juventude,2007-09-01
23,2007,Cruzeiro,5,0,Palmeiras,2007-09-02
23,2007,Gremio,3,0,Botafogo,2007-09-02
23,2007,Athletico-PR,1,0,Atletico-MG,2007-09-02
23,2007,Corinthians,2,0,Santos,2007-09-02
23,2007,Nautico,1,1,Internacional,2007-09-02
23,2007,Fluminense,1,1,Vasco,2007-09-02
23,2007,Goias,2,1,Figueirense,2007-09-02
24,2007,Corinthians,1,0,America-RN,2007-09-05
24,2007,Goias,2,3,Athletico-PR,2007-09-05
24,2007,Flamengo,4,1,Figueirense,2007-09-05
24,2007,Juventude,1,0,Cruzeiro,2007-09-05
24,2007,Atletico-MG,0,0,Sao Paulo,2007-09-05
24,2007,Santos,2,1,Internacional,2007-09-05
24,2007,Gremio,3,1,Vasco,2007-09-05
24,2007,Parana,2,4,Nautico,2007-09-06
24,2007,Botafogo,1,1,Palmeiras,2007-09-06
24,2007,Sport,0,2,Fluminense,2007-09-06
25,2007,Internacional,3,0,Flamengo,2007-09-08
25,2007,Vasco,0,2,Sao Paulo,2007-09-08
25,2007,Figueirense,2,1,Atletico-MG,2007-09-08
25,2007,Santos,1,0,Juventude,2007-09-08
25,2007,Cruzeiro,2,0,Gremio,2007-09-08
25,2007,Palmeiras,2,0,Goias,2007-09-09
25,2007,Parana,1,0,Corinthians,2007-09-09
25,2007,America-RN,1,1,Sport,2007-09-09
25,2007,Fluminense,2,0,Athletico-PR,2007-09-09
25,2007,Nautico,4,1,Botafogo,2007-09-09
26,2007,Sao Paulo,2,1,Santos,2007-09-15
26,2007,Goias,0,3,Nautico,2007-09-15
26,2007,Fluminense,2,0,America-RN,2007-09-15
26,2007,Corinthians,0,1,Botafogo,2007-09-16
26,2007,Athletico-PR,2,1,Palmeiras,2007-09-16
26,2007,Sport,3,1,Parana,2007-09-16
26,2007,Atletico-MG,3,4,Cruzeiro,2007-09-16
26,2007,Figueirense,4,1,Juventude,2007-09-16
26,2007,Gremio,1,0,Internacional,2007-09-16
26,2007,Flamengo,1,1,Vasco,2007-09-16
27,2007,Sao Paulo,2,0,Figueirense,2007-09-22
27,2007,Gremio,1,0,Santos,2007-09-22
27,2007,Goias,1,1,America-RN,2007-09-22
27,2007,Nautico,2,0,Sport,2007-09-23
27,2007,Atletico-MG,2,2,Internacional,2007-09-23
27,2007,Juventude,2,2,Flamengo,2007-09-23
27,2007,Palmeiras,1,0,Corinthians,2007-09-23
27,2007,Athletico-PR,2,1,Parana,2007-09-23
27,2007,Botafogo,0,2,Fluminense,2007-09-23
27,2007,Vasco,0,2,Cruzeiro,2007-09-23
28,2007,Corinthians,1,2,Sport,2007-09-29
28,2007,Flamengo,1,0,Atletico-MG,2007-09-29
28,2007,Nautico,5,0,Athletico-PR,2007-09-29
28,2007,Internacional,1,2,Sao Paulo,2007-09-30
28,2007,Botafogo,0,3,Goias,2007-09-30
28,2007,Santos,1,0,Vasco,2007-09-30
28,2007,Juventude,1,2,Gremio,2007-09-30
28,2007,Cruzeiro,1,2,Figueirense,2007-09-30
28,2007,America-RN,0,0,Palmeiras,2007-09-30
28,2007,Parana,3,1,Fluminense,2007-09-30
29,2007,Palmeiras,2,1,Nautico,2007-10-03
29,2007,Sport,4,0,Goias,2007-10-03
29,2007,Vasco,0,1,Juventude,2007-10-03
29,2007,Gremio,2,2,Atletico-MG,2007-10-03
29,2007,Fluminense,1,1,Corinthians,2007-10-03
29,2007,Athletico-PR,2,0,Botafogo,2007-10-03
29,2007,Cruzeiro,0,1,Santos,2007-10-03
29,2007,America-RN,3,2,Parana,2007-10-04
29,2007,Flamengo,1,0,Sao Paulo,2007-10-04
29,2007,Figueirense,0,0,Internacional,2007-10-04
30,2007,Palmeiras,2,0,Gremio,2007-10-06
30,2007,Botafogo,1,2,Santos,2007-10-06
30,2007,Nautico,4,1,Juventude,2007-10-06
30,2007,Athletico-PR,1,0,Vasco,2007-10-07
30,2007,Atletico-MG,3,1,Sport,2007-10-07
30,2007,Sao Paulo,0,1,Corinthians,2007-10-07
30,2007,Internacional,2,0,America-RN,2007-10-07
30,2007,Figueirense,4,0,Parana,2007-10-07
30,2007,Goias,0,0,Cruzeiro,2007-10-07
30,2007,Flamengo,0,2,Fluminense,2007-10-07
31,2007,Juventude,0,0,Athletico-PR,2007-10-12
31,2007,Cruzeiro,2,2,Nautico,2007-10-12
31,2007,Sport,0,0,Figueirense,2007-10-12
31,2007,Fluminense,1,1,Sao Paulo,2007-10-13
31,2007,Parana,0,1,Flamengo,2007-10-13
31,2007,Corinthians,1,1,Internacional,2007-10-13
31,2007,Santos,1,1,Palmeiras,2007-10-13
31,2007,America-RN,0,1,Atletico-MG,2007-10-13
31,2007,Gremio,2,1,Goias,2007-10-13
31,2007,Vasco,2,1,Botafogo,2007-10-14
32,2007,Palmeiras,3,0,Parana,2007-10-20
32,2007,Goias,5,3,Fluminense,2007-10-20
32,2007,Botafogo,3,1,Sport,2007-10-20
32,2007,Nautico,1,0,Corinthians,2007-10-21
32,2007,Atletico-MG,1,0,Vasco,2007-10-21
32,2007,Sao Paulo,1,0,Cruzeiro,2007-10-21
32,2007,Athletico-PR,2,0,America-RN,2007-10-21
32,2007,Flamengo,2,0,Gremio,2007-10-21
32,2007,Internacional,3,0,Juventude,2007-10-21
32,2007,Figueirense,1,0,Santos,2007-10-21
33,2007,Cruzeiro,1,1,Athletico-PR,2007-10-27
33,2007,Fluminense,1,1,Atletico-MG,2007-10-27
33,2007,Santos,3,0,Goias,2007-10-27
33,2007,America-RN,0,1,Flamengo,2007-10-28
33,2007,Sport,1,2,Sao Paulo,2007-10-28
33,2007,Gremio,4,3,Nautico,2007-10-28
33,2007,Corinthians,2,1,Figueirense,2007-10-28
33,2007,Juventude,1,1,Botafogo,2007-10-28
33,2007,Parana,1,0,Internacional,2007-10-28
33,2007,Vasco,2,2,Palmeiras,2007-10-28
34,2007,Figueirense,0,2,Fluminense,2007-10-31
34,2007,Athletico-PR,2,0,Gremio,2007-10-31
34,2007,Atletico-MG,0,0,Parana,2007-10-31
34,2007,Goias,2,3,Vasco,2007-10-31
34,2007,Nautico,1,2,Santos,2007-10-31
34,2007,Flamengo,2,1,Corinthians,2007-10-31
34,2007,Sao Paulo,3,0,America-RN,2007-10-31
34,2007,Botafogo,4,1,Cruzeiro,2007-11-01
34,2007,Palmeiras,0,1,Juventude,2007-11-01
34,2007,Internacional,0,0,Sport,2007-11-01
35,2007,Parana,1,0,Goias,2007-11-03
35,2007,Fluminense,2,1,Nautico,2007-11-03
35,2007,Gremio,1,2,Figueirense,2007-11-03
35,2007,Cruzeiro,3,1,Flamengo,2007-11-04
35,2007,Santos,2,2,Atletico-MG,2007-11-04
35,2007,Corinthians,2,2,Athletico-PR,2007-11-04
35,2007,America-RN,1,1,Botafogo,2007-11-04
35,2007,Sport,3,1,Palmeiras,2007-11-04
35,2007,Vasco,1,2,Internacional,2007-11-04
35,2007,Juventude,2,0,Sao Paulo,2007-11-07
36,2007,Internacional,1,0,Cruzeiro,2007-11-10
36,2007,Botafogo,3,2,Parana,2007-11-10
36,2007,Nautico,4,0,America-RN,2007-11-10
36,2007,Athletico-PR,0,0,Sport,2007-11-11
36,2007,Goias,1,1,Corinthians,2007-11-11
36,2007,Figueirense,3,3,Vasco,2007-11-11
36,2007,Flamengo,1,0,Santos,2007-11-11
36,2007,Atletico-MG,4,1,Juventude,2007-11-11
36,2007,Sao Paulo,1,0,Gremio,2007-11-11
36,2007,Palmeiras,1,0,Fluminense,2007-11-14
37,2007,America-RN,0,3,Gremio,2007-11-24
37,2007,Fluminense,3,2,Juventude,2007-11-24
37,2007,Sao Paulo,2,2,Botafogo,2007-11-25
37,2007,Internacional,2,1,Palmeiras,2007-11-25
37,2007,Parana,2,3,Santos,2007-11-25
37,2007,Sport,1,0,Cruzeiro,2007-11-25
37,2007,Flamengo,2,0,Athletico-PR,2007-11-25
37,2007,Corinthians,0,1,Vasco,2007-11-28
37,2007,Figueirense,2,0,Nautico,2007-11-28
37,2007,Atletico-MG,4,1,Goias,2007-11-28
38,2007,Palmeiras,1,3,Atletico-MG,2007-12-02
38,2007,Gremio,1,1,Corinthians,2007-12-02
38,2007,Juventude,2,1,Sport,2007-12-02
38,2007,Santos,2,4,Fluminense,2007-12-02
38,2007,Cruzeiro,2,0,America-RN,2007-12-02
38,2007,Nautico,1,0,Flamengo,2007-12-02
38,2007,Botafogo,1,1,Figueirense,2007-12-02
38,2007,Goias,2,1,Internacional,2007-12-02
38,2007,Athletico-PR,2,1,Sao Paulo,2007-12-02
38,2007,Vasco,3,0,Parana,2007-12-02
1,2008,Sao Paulo,0,1,Gremio,2008-05-10
1,2008,Vitoria,0,2,Cruzeiro,2008-05-10
1,2008,Nautico,2,1,Goias,2008-05-10
1,2008,Ipatinga,0,1,Athletico-PR,2008-05-11
1,2008,Coritiba,2,0,Palmeiras,2008-05-11
1,2008,Internacional,1,0,Vasco,2008-05-11
1,2008,Botafogo,2,0,Sport,2008-05-11
1,2008,Atletico-MG,0,0,Fluminense,2008-05-11
1,2008,Flamengo,3,1,Santos,2008-05-11
1,2008,Portuguesa,5,5,Figueirense,2008-05-11
2,2008,Sport,0,0,Vitoria,2008-05-17
2,2008,Vasco,3,1,Portuguesa,2008-05-17
2,2008,Cruzeiro,1,0,Botafogo,2008-05-17
2,2008,Gremio,0,0,Flamengo,2008-05-18
2,2008,Athletico-PR,1,1,Sao Paulo,2008-05-18
2,2008,Fluminense,0,2,Nautico,2008-05-18
2,2008,Goias,1,1,Atletico-MG,2008-05-18
2,2008,Figueirense,2,1,Coritiba,2008-05-18
2,2008,Palmeiras,2,1,Internacional,2008-05-18
2,2008,Santos,4,0,Ipatinga,2008-05-18
3,2008,Gremio,2,0,Nautico,2008-05-24
3,2008,Flamengo,2,1,Internacional,2008-05-24
3,2008,Vitoria,4,0,Figueirense,2008-05-24
3,2008,Goias,1,1,Ipatinga,2008-05-25
3,2008,Sport,2,1,Fluminense,2008-05-25
3,2008,Sao Paulo,1,1,Coritiba,2008-05-25
3,2008,Cruzeiro,4,0,Santos,2008-05-25
3,2008,Portuguesa,1,1,Palmeiras,2008-05-25
3,2008,Athletico-PR,1,1,Atletico-MG,2008-05-25
3,2008,Botafogo,1,1,Vasco,2008-05-25
4,2008,Figueirense,0,0,Goias,2008-05-31
4,2008,Internacional,1,1,Sport,2008-05-31
4,2008,Vasco,2,1,Gremio,2008-05-31
4,2008,Ipatinga,2,0,Vitoria,2008-06-01
4,2008,Coritiba,1,1,Cruzeiro,2008-06-01
4,2008,Santos,0,0,Sao Paulo,2008-06-01
4,2008,Nautico,3,0,Botafogo,2008-06-01
4,2008,Palmeiras,1,0,Athletico-PR,2008-06-01
4,2008,Atletico-MG,2,0,Portuguesa,2008-06-01
4,2008,Fluminense,0,1,Flamengo,2008-06-01
5,2008,Ipatinga,0,0,Nautico,2008-06-07
5,2008,Flamengo,5,0,Figueirense,2008-06-07
5,2008,Sao Paulo,5,1,Atletico-MG,2008-06-07
5,2008,Athletico-PR,5,0,Goias,2008-06-08
5,2008,Gremio,2,1,Fluminense,2008-06-08
5,2008,Sport,2,0,Palmeiras,2008-06-08
5,2008,Portuguesa,3,1,Internacional,2008-06-08
5,2008,Botafogo,2,1,Coritiba,2008-06-08
5,2008,Cruzeiro,1,0,Vasco,2008-06-08
5,2008,Vitoria,1,0,Santos,2008-06-08
6,2008,Fluminense,1,1,Santos,2008-06-12
6,2008,Palmeiras,5,2,Cruzeiro,2008-06-12
6,2008,Atletico-MG,4,2,Ipatinga,2008-06-12
6,2008,Figueirense,3,1,Sport,2008-06-14
6,2008,Internacional,2,1,Botafogo,2008-06-14
6,2008,Flamengo,2,4,Sao Paulo,2008-06-14
6,2008,Nautico,1,1,Vasco,2008-06-14
6,2008,Goias,0,3,Gremio,2008-06-14
6,2008,Coritiba,0,0,Vitoria,2008-06-14
6,2008,Portuguesa,1,0,Athletico-PR,2008-06-14
7,2008,Cruzeiro,3,0,Figueirense,2008-06-21
7,2008,Sao Paulo,1,0,Sport,2008-06-21
7,2008,Botafogo,0,1,Portuguesa,2008-06-21
7,2008,Coritiba,2,1,Fluminense,2008-06-21
7,2008,Ipatinga,1,3,Flamengo,2008-06-22
7,2008,Vitoria,2,1,Internacional,2008-06-22
7,2008,Vasco,0,2,Palmeiras,2008-06-22
7,2008,Gremio,3,0,Athletico-PR,2008-06-22
7,2008,Nautico,2,1,Atletico-MG,2008-06-22
7,2008,Santos,0,4,Goias,2008-06-22
8,2008,Vasco,4,2,Ipatinga,2008-06-28
8,2008,Portuguesa,0,0,Santos,2008-06-28
8,2008,Vitoria,3,0,Goias,2008-06-28
8,2008,Athletico-PR,1,1,Coritiba,2008-06-29
8,2008,Cruzeiro,1,1,Sao Paulo,2008-06-29
8,2008,Sport,1,2,Flamengo,2008-06-29
8,2008,Figueirense,1,1,Atletico-MG,2008-06-29
8,2008,Palmeiras,2,0,Nautico,2008-06-29
8,2008,Fluminense,0,0,Botafogo,2008-06-29
8,2008,Gremio,1,1,Internacional,2008-06-29
9,2008,Sport,1,0,Cruzeiro,2008-07-05
9,2008,Flamengo,3,0,Nautico,2008-07-05
9,2008,Athletico-PR,1,0,Santos,2008-07-05
9,2008,Internacional,3,0,Coritiba,2008-07-06
9,2008,Portuguesa,1,2,Vitoria,2008-07-06
9,2008,Atletico-MG,1,1,Palmeiras,2008-07-06
9,2008,Figueirense,2,1,Vasco,2008-07-06
9,2008,Sao Paulo,1,1,Ipatinga,2008-07-06
9,2008,Goias,1,0,Fluminense,2008-07-06
9,2008,Botafogo,2,0,Gremio,2008-07-06
10,2008,Coritiba,4,0,Portuguesa,2008-07-09
10,2008,Internacional,1,0,Goias,2008-07-09
10,2008,Fluminense,3,0,Athletico-PR,2008-07-09
10,2008,Vitoria,5,2,Botafogo,2008-07-09
10,2008,Santos,1,1,Gremio,2008-07-09
10,2008,Nautico,2,1,Sao Paulo,2008-07-09
10,2008,Atletico-MG,1,1,Flamengo,2008-07-09
10,2008,Ipatinga,2,2,Cruzeiro,2008-07-10
10,2008,Palmeiras,1,1,Figueirense,2008-07-10
10,2008,Vasco,4,0,Sport,2008-07-10
11,2008,Fluminense,2,1,Vitoria,2008-07-12
11,2008,Goias,2,2,Coritiba,2008-07-12
11,2008,Ipatinga,0,1,Figueirense,2008-07-13
11,2008,Cruzeiro,2,1,Atletico-MG,2008-07-13
11,2008,Santos,2,2,Botafogo,2008-07-13
11,2008,Athletico-PR,1,1,Internacional,2008-07-13
11,2008,Sao Paulo,2,1,Palmeiras,2008-07-13
11,2008,Gremio,2,1,Portuguesa,2008-07-13
11,2008,Flamengo,3,1,Vasco,2008-07-13
11,2008,Nautico,0,2,Sport,2008-07-13
12,2008,Sport,2,2,Gremio,2008-07-16
12,2008,Botafogo,4,0,Ipatinga,2008-07-16
12,2008,Figueirense,3,0,Santos,2008-07-16
12,2008,Portuguesa,3,2,Nautico,2008-07-16
12,2008,Cruzeiro,1,0,Athletico-PR,2008-07-16
12,2008,Palmeiras,3,1,Fluminense,2008-07-16
12,2008,Vitoria,1,3,Sao Paulo,2008-07-16
12,2008,Vasco,1,1,Goias,2008-07-17
12,2008,Coritiba,1,0,Flamengo,2008-07-17
12,2008,Internacional,1,0,Atletico-MG,2008-07-17
13,2008,Ipatinga,4,1,Portuguesa,2008-07-19
13,2008,Fluminense,1,0,Figueirense,2008-07-19
13,2008,Gremio,1,0,Cruzeiro,2008-07-19
13,2008,Nautico,1,1,Internacional,2008-07-20
13,2008,Athletico-PR,3,1,Vasco,2008-07-20
